test/success_rate,epoch,stats_g/mean,test/mean_Q,stats_o/std,train/episode,test/episode,stats_o/mean,train/success_rate,stats_g/std
0.5625,133,0.38466284,-13.498459,0.982361,13400.0,2680.0,0.18761395,0.245,0.22365215
0.5625,134,0.38471547,-13.707789,0.9823852,13500.0,2700.0,0.1876264,0.1975,0.22366475
0.65,135,0.38467947,-12.372551,0.98243845,13600.0,2720.0,0.18761915,0.275,0.22367665
0.6375,136,0.38463476,-13.326139,0.98250824,13700.0,2740.0,0.18758556,0.23249999999999998,0.22376002
0.5,137,0.38457885,-14.517186,0.98261875,13800.0,2760.0,0.18755747,0.27,0.22377625
0.5,138,0.38458732,-15.34807,0.9826625,13900.0,2780.0,0.1875392,0.26,0.22381426
0.625,139,0.38452896,-13.718227,0.9827349,14000.0,2800.0,0.18751672,0.265,0.22382696
0.5375000000000001,140,0.38451195,-12.827338,0.9828462,14100.0,2820.0,0.187519,0.2625,0.2238523
0.675,141,0.38446242,-11.8106365,0.9829763,14200.0,2840.0,0.18749307,0.2725,0.22383611
0.6125,142,0.38441443,-13.61673,0.98313594,14300.0,2860.0,0.18747073,0.3125,0.22384699
0.6625000000000001,143,0.38439605,-11.907683,0.98327124,14400.0,2880.0,0.18743885,0.2925,0.22388819
0.8,144,0.3844114,-10.524839,0.9833691,14500.0,2900.0,0.18744266,0.27,0.22389261
0.75,145,0.38443017,-12.6803465,0.9834786,14600.0,2920.0,0.1874296,0.28500000000000003,0.2238396
0.8,146,0.38444754,-9.811871,0.9836201,14700.0,2940.0,0.18742408,0.2875,0.22383305
0.6125,147,0.38449696,-14.686302,0.9837146,14800.0,2960.0,0.1874279,0.3075,0.22379196
0.65,148,0.38456735,-13.652294,0.9838114,14900.0,2980.0,0.18745573,0.31,0.22375952
0.7625,149,0.38460392,-11.7107525,0.9839228,15000.0,3000.0,0.18746051,0.27749999999999997,0.22372928
0.625,150,0.38463497,-11.653561,0.98411214,15100.0,3020.0,0.18746546,0.2575,0.22370353
0.6125,151,0.38461688,-11.968931,0.9843182,15200.0,3040.0,0.18747327,0.265,0.22373891
0.65,152,0.38464355,-11.171488,0.98448384,15300.0,3060.0,0.18749693,0.29,0.22373907
0.675,153,0.3846133,-12.816252,0.9846539,15400.0,3080.0,0.1874664,0.31000000000000005,0.22372982
0.675,154,0.38460454,-13.009474,0.9847766,15500.0,3100.0,0.18744281,0.28500000000000003,0.223735
0.75,155,0.3846414,-12.161945,0.98490983,15600.0,3120.0,0.18740714,0.315,0.22367263
0.65,156,0.38470477,-14.752282,0.9850985,15700.0,3140.0,0.18740699,0.27,0.2236446
