test/mean_Q,train/episode,stats_o/std,test/episode,stats_o/mean,test/success_rate,train/success_rate,stats_g/mean,stats_g/std,epoch
-14.72399,13000.0,0.8469036,2600.0,0.19506446,0.5774999999999999,0.24,0.37904453,0.2303095,25
-14.147799,13500.0,0.8522077,2700.0,0.19492176,0.6275000000000001,0.2345,0.37923628,0.2299881,26
-14.997995,14000.0,0.85738677,2800.0,0.19469492,0.6,0.255,0.37944356,0.2296048,27
-14.13422,14500.0,0.862365,2900.0,0.19445828,0.6499999999999999,0.268,0.3795387,0.22924764,28
-12.041786,15000.0,0.8670492,3000.0,0.19420116,0.72,0.2685,0.37971696,0.22888209,29
-10.774995,15500.0,0.8717194,3100.0,0.19392578,0.7525000000000001,0.2755,0.37979016,0.22864439,30
-11.7593,16000.0,0.8759605,3200.0,0.19376431,0.6925,0.28750000000000003,0.3800335,0.22832878,31
-11.412738,16500.0,0.87995183,3300.0,0.19363199,0.7075,0.3055,0.38018137,0.2280711,32
-11.009832,17000.0,0.8835944,3400.0,0.1935231,0.7525,0.28550000000000003,0.38036042,0.22779171,33
-10.218272,17500.0,0.88714164,3500.0,0.19344445,0.7725000000000001,0.28500000000000003,0.3805137,0.22760336,34
-10.745843,18000.0,0.8904354,3600.0,0.19328049,0.7649999999999999,0.31,0.38054544,0.22742648,35
-10.008944,18500.0,0.8936057,3700.0,0.1931193,0.7975,0.33100000000000007,0.38077518,0.2271895,36
-9.019265,19000.0,0.8966148,3800.0,0.1929725,0.81,0.3265,0.38086915,0.2269961,37
-11.561904,19500.0,0.89944965,3900.0,0.19288442,0.7575000000000001,0.346,0.38094404,0.22682224,38
-9.718956,20000.0,0.90204245,4000.0,0.19279705,0.7975,0.347,0.38106376,0.22658634,39
-9.955499,20500.0,0.90450746,4100.0,0.19276604,0.7675000000000001,0.3295,0.38122565,0.22640625,40
-9.429168,21000.0,0.9068586,4200.0,0.19272272,0.7875,0.32299999999999995,0.38133946,0.22621761,41
-9.377827,21500.0,0.9090798,4300.0,0.1926851,0.8175,0.355,0.38139963,0.22607581,42
-8.865694,22000.0,0.9111586,4400.0,0.19267784,0.8175,0.3565,0.38150808,0.22588484,43
-8.564611,22500.0,0.91313726,4500.0,0.19266655,0.8575000000000002,0.3405,0.38156384,0.22578119,44
-7.8390865,23000.0,0.9150415,4600.0,0.19268481,0.8474999999999999,0.3425,0.38170213,0.22559956,45
-8.569202,23500.0,0.91692394,4700.0,0.19269381,0.8425,0.3525,0.38176462,0.22548716,46
-7.7666025,24000.0,0.9187167,4800.0,0.19269952,0.875,0.3725,0.38186452,0.2253379,47
-8.63759,24500.0,0.9204333,4900.0,0.1926937,0.845,0.37,0.3818676,0.22528222,48
-7.240027,25000.0,0.92199105,5000.0,0.19267792,0.8600000000000001,0.3645,0.38187408,0.22516574,49
-8.3449545,25500.0,0.92353165,5100.0,0.19268885,0.8025000000000001,0.375,0.3819441,0.22503051,50
-8.148545,26000.0,0.92496496,5200.0,0.19267213,0.845,0.387,0.38205752,0.22489078,51
-7.954185,26500.0,0.9263326,5300.0,0.19269563,0.84,0.369,0.38213697,0.22478905,52
-7.0142984,27000.0,0.9275985,5400.0,0.1927381,0.865,0.393,0.38221964,0.22467792,53
-7.039782,27500.0,0.92888457,5500.0,0.1927621,0.8700000000000001,0.389,0.38218787,0.22459681,54
-6.881607,28000.0,0.930132,5600.0,0.19280058,0.8600000000000001,0.366,0.3822591,0.22451302,55
-7.727981,28500.0,0.9313671,5700.0,0.19281699,0.845,0.38050000000000006,0.38228557,0.22445583,56
-8.25907,29000.0,0.932533,5800.0,0.19283295,0.8325,0.3595,0.3822925,0.22440192,57
-6.7006283,29500.0,0.93361276,5900.0,0.19286528,0.8375,0.3725,0.3823364,0.2242875,58
-6.944603,30000.0,0.93469894,6000.0,0.19288655,0.8775000000000001,0.371,0.38239127,0.22423777,59
-6.5453396,30500.0,0.9356659,6100.0,0.19292864,0.8725,0.386,0.38238415,0.224141,60
-6.2910495,31000.0,0.9366263,6200.0,0.19295798,0.8775000000000001,0.4035,0.3824267,0.22407722,61
-6.482322,31500.0,0.9374868,6300.0,0.19299196,0.8674999999999999,0.39249999999999996,0.38245878,0.22400117,62
-6.2995176,32000.0,0.93838996,6400.0,0.19300944,0.875,0.40149999999999997,0.38248673,0.22394831,63
-6.0893254,32500.0,0.9391962,6500.0,0.19305636,0.8850000000000001,0.4195,0.3825285,0.2238412,64
-6.8771844,33000.0,0.9399898,6600.0,0.1930863,0.8600000000000001,0.39899999999999997,0.38254166,0.22378018,65
-5.3323107,33500.0,0.94075954,6700.0,0.19312291,0.9,0.41450000000000004,0.38258186,0.22369514,66
-5.9329433,34000.0,0.94148964,6800.0,0.19316857,0.8825000000000001,0.382,0.38263223,0.22363451,67
-6.3969226,34500.0,0.9422102,6900.0,0.19320628,0.8750000000000001,0.387,0.38262042,0.22361001,68
-6.26161,35000.0,0.9428711,7000.0,0.19324203,0.8625,0.39899999999999997,0.38265595,0.22357324,69
-6.096164,35500.0,0.9435412,7100.0,0.19329262,0.88,0.3785,0.38268062,0.22351673,70
-6.3736467,36000.0,0.9442138,7200.0,0.193351,0.8625,0.39499999999999996,0.38273355,0.22349273,71
-5.9229455,36500.0,0.9448362,7300.0,0.19337338,0.905,0.4115,0.38274428,0.22345011,72
-6.7662926,37000.0,0.9454532,7400.0,0.19338216,0.8825000000000001,0.402,0.3827863,0.22338608,73
-6.3865786,37500.0,0.9460157,7500.0,0.19341041,0.8825000000000001,0.39399999999999996,0.3827748,0.22333895,74
-5.7082405,38000.0,0.94658405,7600.0,0.19346207,0.9100000000000001,0.4145,0.38278228,0.22331177,75
-6.0628715,38500.0,0.94718593,7700.0,0.19349095,0.8775000000000001,0.404,0.38279566,0.22333606,76
-5.752244,39000.0,0.94774824,7800.0,0.19353803,0.905,0.4115,0.3828447,0.22333942,77
-5.992497,39500.0,0.9482927,7900.0,0.19357355,0.9125000000000001,0.3845,0.38284773,0.22331604,78
-5.415056,40000.0,0.94884014,8000.0,0.19359607,0.9175,0.41100000000000003,0.38290218,0.22327963,79
-5.9177675,40500.0,0.94940484,8100.0,0.19363533,0.8700000000000001,0.4195,0.38289285,0.22327651,80
-5.867254,41000.0,0.94987434,8200.0,0.19367352,0.8674999999999999,0.4425,0.3829059,0.22323717,81
-5.50126,41500.0,0.9503833,8300.0,0.19371775,0.9075,0.42300000000000004,0.38294578,0.22323002,82
-6.224185,42000.0,0.9508505,8400.0,0.1937764,0.8875,0.413,0.38298696,0.2231866,83
-6.2272506,42500.0,0.95123196,8500.0,0.1938248,0.8850000000000001,0.4105,0.3830048,0.2231408,84
-5.4646363,43000.0,0.9516652,8600.0,0.19387762,0.8775000000000002,0.43000000000000005,0.38299444,0.22312304,85
-5.6216087,43500.0,0.95208335,8700.0,0.1939225,0.885,0.42100000000000004,0.38305238,0.22305895,86
-5.437333,44000.0,0.95252913,8800.0,0.1939572,0.9100000000000001,0.39699999999999996,0.38306007,0.22306189,87
-5.363943,44500.0,0.952925,8900.0,0.19400017,0.905,0.425,0.38308734,0.22303978,88
-5.4994926,45000.0,0.95331424,9000.0,0.19405362,0.9,0.4255,0.38309237,0.22301729,89
-5.254429,45500.0,0.95371205,9100.0,0.19408359,0.9025,0.39349999999999996,0.38313326,0.22297637,90
